t1,t2,style,k,r0,source
c4m_,n=_1,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c4m_,n=_2,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c4m_,n=_3,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c4m_,n_,quadratic,377.5752,1.46,cvff_auto
c4m_,na_,quadratic,356.59879999999998,1.47,cvff_auto
c4m_,np_,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c4m_,o'_,quadratic,318.94839999999999,1.3799999999999999,cvff_auto
c4m_,o3e_,quadratic,273.19999999999999,1.425,cvff_auto
c4m_,o4e_,quadratic,273.19999999999999,1.4461999999999999,cvff_auto
c4m_,o_,quadratic,273.19999999999999,1.425,cvff_auto
c4m_,op_,quadratic,346.54840000000002,1.3799999999999999,cvff_auto
c4m_,p_,quadratic,249.1344,1.75,cvff_auto
c4m_,s'_,quadratic,257.33240000000001,1.77,cvff_auto
c4m_,s3e_,quadratic,228,1.8,cvff_auto
c4m_,s4e_,quadratic,228,1.847,cvff_auto
c4m_,s_,quadratic,228,1.8,cvff_auto
c4m_,si_,quadratic,238,1.8089999999999999,cvff_auto
c4m_,sp_,quadratic,242.5324,1.77,cvff_auto
c5,c5,quadratic,280,1.3899999999999999,cvff
c5,cp,quadratic,280,1.3400000000000001,cvff
c5,cs,quadratic,400,1.363,cvff
c5,h,quadratic,363.41640000000001,1.0800000000000001,cvff
c5,np,quadratic,320,1.3799999999999999,cvff
c5,o,quadratic,420,1.3700000000000001,cvff
c5,op,quadratic,420,1.3700000000000001,cvff
c5,s,quadratic,228,1.73,cvff
c=,c=,quadratic,655.20000000000005,1.3300000000000001,cvff
c=,c=1,quadratic,655.20000000000005,1.3300000000000001,cvff
c=,h,quadratic,361.60000000000002,1.0900000000000001,cvff
c=,n=,quadratic,560,1.26,cvff
c=,n=1,quadratic,560,1.26,cvff
c=1,h,quadratic,361.60000000000002,1.0900000000000001,cvff
c=1,n=,quadratic,560,1.26,cvff
c=2,h,quadratic,361.60000000000002,1.0900000000000001,cvff
