t1,t2,t3,t4,style,kphi,n,phi0,source
CT2,CT2,C,NH1,torsion_1,0,1,0,
CT2,CT2,C,O,torsion_1,1.3999999999999999,1,0,
CT2,CT2,CPH1,NR1,torsion_1,0.19,3,0,
CT2,CT2,CPH1,NR2,torsion_1,0.19,3,0,
CT2,CT2,CPH1,NR3,torsion_1,0.19,3,0,
CT2,CT2,CT2,CT2,torsion_1,0.14999999999999999,1,0,
CT2,CT2,CT2,CT3,torsion_1,0.14999999999999999,1,0,
CT2,CT2,NH1,H,torsion_1,0,1,0,
CT2,CT2,NH2,HC,torsion_1,0.11,3,0,
CT2,CT2,OH1,H,torsion_1,1.3,1,0,
CT2,CT2,OH1,H,torsion_1,0.29999999999999999,2,0,
CT2,CT2,OH1,H,torsion_1,0.41999999999999998,3,0,
CT2,CT2,S,CT3,torsion_1,0.23999999999999999,1,180,
CT2,CT2,S,CT3,torsion_1,0.37,3,0,
CT2,CT2,SM,SM,torsion_1,0.31,3,0,
CT2,CY,CA,HA,torsion_1,1.2,2,180,
CT2,CY,CA,HP,torsion_1,1.2,2,180,
CT2,CY,CA,NY,torsion_1,3.5,2,180,
CT2,NH1,C,CT3,torsion_1,1.6000000000000001,1,0,
CT2,NH1,C,CT3,torsion_1,2.5,2,180,
CT2,NH1,C,O,torsion_1,2.5,2,180,
CT2,OS,CD,OB,torsion_1,0.96499999999999997,1,180,
CT2,OS,CD,OB,torsion_1,3.8500000000000001,2,180,
CT2,S,CT3,HA,torsion_1,0.28000000000000003,3,0,
CT2,SM,SM,CT2,torsion_1,1,1,0,
CT2,SM,SM,CT2,torsion_1,4.0999999999999996,2,0,
CT2,SM,SM,CT2,torsion_1,0.90000000000000002,3,0,
CT3,C,NH1,CT3,torsion_1,1.6000000000000001,1,0,
CT3,C,NH1,CT3,torsion_1,2.5,2,180,
CT3,C,NH1,H,torsion_1,2.5,2,180,
CT3,CA,CA,HP,torsion_1,4.2000000000000002,2,180,
CT3,CC,NH2,H,torsion_1,1.3999999999999999,2,180,
CT3,CE1,CE1,HE1,torsion_1,1,2,180,
CT3,CE1,CE2,HE2,torsion_1,5.2000000000000002,2,180,
CT3,CPH1,CPH1,HR1,torsion_1,1,2,180,
