t1,t2,t3,t4,style,kphi,n,phi0,source
*,n=_2,n=_3,*,torsion_1,1.5,2,180,cvff_auto
*,n=_2,n_,*,torsion_1,0.75,2,180,cvff_auto
*,n=_2,na_,*,torsion_1,0,0,0,cvff_auto
*,n=_2,np_,*,torsion_1,1.5,2,180,cvff_auto
*,n=_2,np_,h_,torsion_1,0.75,2,180,cvff_auto
*,n=_2,o_,*,torsion_1,0.69999999999999996,2,180,cvff_auto
*,n=_2,s_,*,torsion_1,0.69999999999999996,2,180,cvff_auto
*,n=_2,si_,*,torsion_1,0.23330000000000001,2,180,cvff_auto
*,n=_3,n=_3,*,torsion_1,15,2,180,cvff_auto
*,n=_3,n_,*,torsion_1,0.75,2,180,cvff_auto
*,n=_3,na_,*,torsion_1,0,0,0,cvff_auto
*,n=_3,np_,*,torsion_1,1.5,2,180,cvff_auto
*,n=_3,np_,h_,torsion_1,0.75,2,180,cvff_auto
*,n=_3,o_,*,torsion_1,0.69999999999999996,2,180,cvff_auto
*,n=_3,s_,*,torsion_1,0.69999999999999996,2,180,cvff_auto
*,n=_3,si_,*,torsion_1,0.23330000000000001,2,180,cvff_auto
*,n_,n_,*,torsion_1,0.375,2,180,cvff_auto
*,n_,na_,*,torsion_1,0,0,0,cvff_auto
*,n_,np_,*,torsion_1,0.75,2,180,cvff_auto
*,n_,np_,h_,torsion_1,0.375,2,180,cvff_auto
*,n_,o_,*,torsion_1,0.5,2,180,cvff_auto
*,n_,s_,*,torsion_1,0.5,2,180,cvff_auto
*,n_,si_,*,torsion_1,0,0,0,cvff_auto
*,na_,na_,*,torsion_1,0.25,3,0,cvff_auto
*,na_,np_,*,torsion_1,0,0,0,cvff_auto
*,na_,o_,*,torsion_1,0.097500000000000003,3,0,cvff_auto
*,na_,s_,*,torsion_1,0.097500000000000003,3,0,cvff_auto
*,na_,si_,*,torsion_1,0.066699999999999995,3,0,cvff_auto
*,np_,np_,*,torsion_1,11,2,180,cvff_auto
*,np_,np_,h_,torsion_1,5.5,2,180,cvff_auto
*,np_,o_,*,torsion_1,1,2,180,cvff_auto
*,np_,op_,*,torsion_1,11,2,180,cvff_auto
*,np_,s_,*,torsion_1,1,2,180,cvff_auto
