t1,t2,delta_ij,delta_ji
c=1,c=2,0,0
c=1,c-,0.0424,-0.0424
c=1,ct,0.085199999999999998,-0.085199999999999998
c=1,n3,0.1216,-0.1216
c=1,n,0.1993,-0.1993
c=1,n2,0.1993,-0.1993
c=1,n=,0.29999999999999999,-0.29999999999999999
c=1,n=1,0.29999999999999999,-0.29999999999999999
c=1,n=2,0.29999999999999999,-0.29999999999999999
c=1,np,0.1993,-0.1993
c=1,n4,0.2989,-0.048899999999999999
c=1,nt,0.32300000000000001,-0.32300000000000001
c=1,o,0.13669999999999999,-0.13669999999999999
c=1,oh,0.029700000000000001,-0.029700000000000001
c=1,oz,0.13669999999999999,-0.13669999999999999
c=1,op,0.35830000000000001,-0.35830000000000001
c=1,o',0.35830000000000001,-0.35830000000000001
c=1,s,0.028199999999999999,-0.028199999999999999
c=1,sh,-0.022200000000000001,0.022200000000000001
c=1,sp,0.073200000000000001,-0.073200000000000001
c=1,s',0.073200000000000001,-0.073200000000000001
c=1,p,-0.12670000000000001,0.12670000000000001
c=1,h,-0.10000000000000001,0.10000000000000001
c=1,f,0.25890000000000002,-0.25890000000000002
c=1,cl,0.1163,-0.1163
c=1,br,0.072499999999999995,-0.072499999999999995
c=1,i,0.064199999999999993,-0.064199999999999993
c=1,si,-0.22700000000000001,0.22700000000000001
c=2,c=2,0,0
c=2,c-,0.0424,-0.0424
c=2,ct,0.085199999999999998,-0.085199999999999998
c=2,n3,0.1216,-0.1216
c=2,n,0.1993,-0.1993
c=2,n2,0.1993,-0.1993
c=2,n=,0.29999999999999999,-0.29999999999999999
c=2,n=1,0.29999999999999999,-0.29999999999999999
c=2,n=2,0.29999999999999999,-0.29999999999999999
c=2,np,0.1993,-0.1993
c=2,n4,0.2989,-0.048899999999999999
c=2,nt,0.32300000000000001,-0.32300000000000001
c=2,o,0.13669999999999999,-0.13669999999999999
c=2,oh,0.029700000000000001,-0.029700000000000001
c=2,oz,0.13669999999999999,-0.13669999999999999
c=2,op,0.35830000000000001,-0.35830000000000001
c=2,o',0.35830000000000001,-0.35830000000000001
c=2,s,0.028199999999999999,-0.028199999999999999
c=2,sh,-0.022200000000000001,0.022200000000000001
c=2,sp,0.073200000000000001,-0.073200000000000001
c=2,s',0.073200000000000001,-0.073200000000000001
c=2,p,-0.12670000000000001,0.12670000000000001
c=2,h,-0.10000000000000001,0.10000000000000001
c=2,f,0.25890000000000002,-0.25890000000000002
c=2,cl,0.1163,-0.1163
c=2,br,0.072499999999999995,-0.072499999999999995
c=2,i,0.064199999999999993,-0.064199999999999993
c=2,si,-0.22700000000000001,0.22700000000000001
c-,c-,0,0
c-,ct,0.043200000000000002,-0.043200000000000002
c-,n3,0.082400000000000001,-0.082400000000000001
c-,n,0.16070000000000001,-0.16070000000000001
c-,n2,0.16070000000000001,-0.16070000000000001
c-,n=,0.16070000000000001,-0.16070000000000001
c-,n=1,0.16070000000000001,-0.16070000000000001
c-,n=2,0.16070000000000001,-0.16070000000000001
c-,np,0.16070000000000001,-0.16070000000000001
c-,n4,0.25969999999999999,-0.0097000000000000003
c-,nt,0.28539999999999999,-0.28539999999999999
c-,o,0.1012,-0.1012
c-,oh,-0.0057999999999999996,0.0057999999999999996
c-,oz,0.1012,-0.1012
c-,op,0.3241,-0.3241
c-,o',0.3241,-0.3241
c-,s,-0.0146,0.0146
c-,sh,-0.065000000000000002,0.065000000000000002
c-,sp,0.0304,-0.0304
c-,s',0.0304,-0.0304
c-,s-,-0.12230000000000001,-0.37769999999999998
c-,p,-0.1744,0.1744
c-,h,-0.15490000000000001,0.15490000000000001
c-,f,0.22409999999999999,-0.22409999999999999
c-,cl,0.074700000000000003,-0.074700000000000003
c-,br,0.0281,-0.0281
c-,i,0.018499999999999999,-0.018499999999999999
c-,si,-0.27750000000000002,0.27750000000000002
ct,ct,0,0
ct,n3,0.0419,-0.0419
ct,n,0.12039999999999999,-0.12039999999999999
ct,n2,0.12039999999999999,-0.12039999999999999
ct,n=,0.12039999999999999,-0.12039999999999999
ct,n=1,0.12039999999999999,-0.12039999999999999
ct,n=2,0.12039999999999999,-0.12039999999999999
ct,np,0.12039999999999999,-0.12039999999999999
ct,n4,0.21809999999999999,0.031899999999999998
ct,nt,0.24540000000000001,-0.24540000000000001
ct,o,0.064399999999999999,-0.064399999999999999
ct,oh,-0.042000000000000003,0.042000000000000003
ct,oz,0.064399999999999999,-0.064399999999999999
ct,op,0.28739999999999999,-0.28739999999999999
ct,o',0.28739999999999999,-0.28739999999999999
ct,s,-0.058099999999999999,0.058099999999999999
ct,sh,-0.1082,0.1082
ct,sp,-0.0135,0.0135
ct,s',-0.0135,0.0135
ct,p,-0.22159999999999999,0.22159999999999999
ct,h,-0.20000000000000001,0.20000000000000001
ct,f,0.18729999999999999,-0.18729999999999999
ct,cl,0.031899999999999998,-0.031899999999999998
ct,br,-0.017299999999999999,0.017299999999999999
ct,i,-0.0281,0.0281
ct,si,-0.3266,0.3266
n3,n3,0,0
n3,n,0.074200000000000002,-0.074200000000000002
n3,n2,0.074200000000000002,-0.074200000000000002
n3,n=,0.074200000000000002,-0.074200000000000002
n3,n=1,0.074200000000000002,-0.074200000000000002
n3,n=2,0.074200000000000002,-0.074200000000000002
n3,np,0.074200000000000002,-0.074200000000000002
n3,n4,0.16500000000000001,0.085000000000000006
n3,nt,0.19270000000000001,-0.19270000000000001
n3,o,0.024899999999999999,-0.024899999999999999
n3,oh,-0.075399999999999995,0.075399999999999995
n3,oz,0.024899999999999999,-0.024899999999999999
n3,op,0.2369,-0.2369
n3,o',0.2369,-0.2369
n3,s,-0.096699999999999994,0.096699999999999994
n3,sh,-0.1434,0.1434
n3,sp,-0.055100000000000003,0.055100000000000003
n3,s',-0.055100000000000003,0.055100000000000003
n3,p,-0.25180000000000002,0.25180000000000002
n3,h,-0.23860000000000001,0.23860000000000001
n3,f,0.14149999999999999,-0.14149999999999999
n3,cl,-0.0117,0.0117
n3,br,-0.060100000000000001,0.060100000000000001
n3,i,-0.071400000000000005,0.071400000000000005
n3,si,-0.35010000000000002,0.35010000000000002
n,n,0,0
n,n2,0,0
n,n=,0,0
n,n=1,0,0
n,n=2,0,0
n,np,0,0
n,n4,0.088300000000000003,0.16170000000000001
n,nt,0.1186,-0.1186
n,o,-0.043200000000000002,0.043200000000000002
n,oh,-0.1421,0.1421
n,oz,-0.043200000000000002,0.043200000000000002
n,op,0.16839999999999999,-0.16839999999999999
n,o',0.16839999999999999,-0.16839999999999999
n,s,-0.17549999999999999,0.17549999999999999
n,sh,-0.22140000000000001,0.22140000000000001
n,sp,-0.1346,0.1346
n,s',-0.1346,0.1346
n,p,-0.33589999999999998,0.33589999999999998
n,h,-0.32779999999999998,0.32779999999999998
n,f,0.073099999999999998,-0.073099999999999998
n,cl,-0.089700000000000002,0.089700000000000002
n,br,-0.14219999999999999,0.14219999999999999
n,i,-0.15540000000000001,0.15540000000000001
n,si,-0.43669999999999998,0.43669999999999998
n2,n2,0,0
n2,n=,0,0
n2,n=1,0,0
n2,n=2,0,0
n2,np,0,0
n2,n4,0.088300000000000003,0.16170000000000001
n2,nt,0.1186,-0.1186
n2,o,-0.043200000000000002,0.043200000000000002
n2,oh,-0.1421,0.1421
n2,oz,-0.043200000000000002,0.043200000000000002
n2,op,0.16839999999999999,-0.16839999999999999
n2,o',0.16839999999999999,-0.16839999999999999
n2,s,-0.17549999999999999,0.17549999999999999
n2,sh,-0.22140000000000001,0.22140000000000001
n2,sp,-0.1346,0.1346
n2,s',-0.1346,0.1346
n2,p,-0.33589999999999998,0.33589999999999998
n2,h,-0.32779999999999998,0.32779999999999998
n2,f,0.073099999999999998,-0.073099999999999998
n2,cl,-0.089700000000000002,0.089700000000000002
n2,br,-0.14219999999999999,0.14219999999999999
n2,i,-0.15540000000000001,0.15540000000000001
n2,si,-0.43669999999999998,0.43669999999999998
n=,n=,0,0
n=,n=1,0,0
n=,n=2,0,0
n=,np,0,0
n=,n4,0.088300000000000003,0.16170000000000001
n=,nt,0.1186,-0.1186
n=,o,-0.043200000000000002,0.043200000000000002
n=,oh,-0.1421,0.1421
n=,oz,-0.043200000000000002,0.043200000000000002
n=,op,0.16839999999999999,-0.16839999999999999
n=,o',0.16839999999999999,-0.16839999999999999
n=,o-,0.16839999999999999,-0.16839999999999999
n=,s,-0.17549999999999999,0.17549999999999999
n=,sh,-0.22140000000000001,0.22140000000000001
n=,sp,-0.1346,0.1346
n=,s',-0.1346,0.1346
n=,p,-0.33589999999999998,0.33589999999999998
n=,h,-0.32779999999999998,0.32779999999999998
n=,f,0.073099999999999998,-0.073099999999999998
n=,cl,-0.089700000000000002,0.089700000000000002
n=,br,-0.14219999999999999,0.14219999999999999
n=,i,-0.15540000000000001,0.15540000000000001
n=,si,-0.43669999999999998,0.43669999999999998
n=1,n=1,0,0
n=1,n=2,0,0
n=1,np,0,0
n=1,n4,0.088300000000000003,0.16170000000000001
n=1,nt,0.1186,-0.1186
n=1,o,-0.043200000000000002,0.043200000000000002
n=1,oh,-0.1421,0.1421
n=1,oz,-0.043200000000000002,0.043200000000000002
n=1,op,0.16839999999999999,-0.16839999999999999
n=1,o',0.16839999999999999,-0.16839999999999999
n=1,s,-0.17549999999999999,0.17549999999999999
n=1,sh,-0.22140000000000001,0.22140000000000001
n=1,sp,-0.1346,0.1346
n=1,s',-0.1346,0.1346
n=1,p,-0.33589999999999998,0.33589999999999998
n=1,h,-0.32779999999999998,0.32779999999999998
n=1,f,0.073099999999999998,-0.073099999999999998
n=1,cl,-0.089700000000000002,0.089700000000000002
n=1,br,-0.14219999999999999,0.14219999999999999
n=1,i,-0.15540000000000001,0.15540000000000001
n=1,si,-0.43669999999999998,0.43669999999999998
n=2,n=2,0,0
n=2,np,0,0
