atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
oy9,O,15.99940013885498,lj_ab_12_6,,,"3 Oxygen atom in octahedral aluminate sheet (-0.683, -0.792 if next to Mg defect)"
oz,O,15.99940013885498,lj_ab_12_6,,,2 ester oxygen in carbonate
p,P,30.973800659179688,lj_ab_12_6,,,4 general phosphorous atom
p=,P,30.973800659179688,lj_ab_12_6,,,5 phosphazene phosphorous atom
pap,P,30.973800659179688,lj_ab_12_6,,,4 Phosphorus atom in (hydrogen)phosphate ion in hydroxyapatite (+1.0)
s,S,32.063999176025391,lj_ab_12_6,,,2 sp3 sulfur
s',S,32.063999176025391,lj_ab_12_6,,,1 S in thioketone group
s-,S,32.063999176025391,lj_ab_12_6,,,1 partial double sulfur
s1,S,32.063999176025391,lj_ab_12_6,,,2 sp3 sulfur involved in (S-S) group of disulfides
s3e,S,32.063999176025391,lj_ab_12_6,,,2 sulfur in three membered ring
s4e,S,32.063999176025391,lj_ab_12_6,,,2 sulfur in four membered ring
s_m,S,32.063999176025391,lj_ab_12_6,,,4 Sulfur atom in sulfate ion in monosulfate (+1.0
sc,S,32.063999176025391,lj_ab_12_6,,,2 sp3 sulfur in methionines (C-S-C) group
sc1,Si,28.086000442504883,lj_ab_12_6,,,4 Silicon atom in silicate ion in Ca3SiO5 (+1.0)
sc2,Si,28.086000442504883,lj_ab_12_6,,,4 Silicon atom in tobermorite ring (+1.0)
sc3,Si,28.086000442504883,lj_ab_12_6,,,4 Silicon atom in tobermorite ring junction (+1.0)
sc4,Si,28.086000442504883,lj_ab_12_6,,,"4 Silicon atom in silica (+1.1 in bulk SiO2 or SiOH, +0.725 in SiO-)"
sf,S,32.063999176025391,lj_ab_12_6,,,1 S in sulfonate group
sh,S,32.063999176025391,lj_ab_12_6,,,2 sp3 sulfur in sulfhydryl (-SH) group (e.g. cysteine)
si,Si,28.086000442504883,lj_ab_12_6,,,4 silicon atom
sio,Si,28.086000442504883,lj_ab_12_6,,,4 siloxane silicon
sp,S,32.063999176025391,lj_ab_12_6,,,2 sulfur in an aromatic ring (e.g. thiophene)
sy1,Si,28.086000442504883,lj_ab_12_6,,,4 Silicon atom in tetrahedral silicate sheet (+1.1)
sy2,Si,28.086000442504883,lj_ab_12_6,,,4 Silicon atom in tetrahedral silicate sheet (+1.1)
sz,Si,28.086000442504883,lj_ab_12_6,,,4 silicon atom in zeolites
xe,Xe,131.30000305175781,lj_ab_12_6,,,0 Xenon
