t1,t2,delta_ij,delta_ji
c,nh,0.060999999999999999,-0.060999999999999999
c,nn,0.21079999999999999,-0.21079999999999999
c,np,0.11,-0.11
c,nr,0.48020000000000002,-0.48020000000000002
c,nt,0.36399999999999999,-0.36399999999999999
c,o,0.13300000000000001,-0.13300000000000001
c,o_2,0.22500000000000001,-0.22500000000000001
ce1,o_2,0.22500000000000001,-0.22500000000000001
c,oz,0.050000000000000003,-0.050000000000000003
c,p,0.010999999999999999,-0.010999999999999999
c,p=,-0.050000000000000003,0.050000000000000003
c,s,0.065000000000000002,-0.065000000000000002
c,si,-0.13500000000000001,0.13500000000000001
c,si,-0.1767,0.1767
c,sio,-0.10000000000000001,0.10000000000000001
c+,nr,0.26529999999999998,0.068000000000000005
c-,c-,0,0
c-,c_0,0.1368,-0.1368
c-,c_1,0.1368,-0.1368
c-,cl,0.074700000000000003,-0.074700000000000003
c-,cp,-0.0424,0.0424
c-,ct,0.043200000000000002,-0.043200000000000002
c-,f,0.22409999999999999,-0.22409999999999999
c-,h,-0.052999999999999999,0.052999999999999999
c-,i,0.018499999999999999,-0.018499999999999999
c-,n,0.16070000000000001,-0.16070000000000001
c-,n+,0.25969999999999999,-0.0097000000000000003
c-,n=,0.16070000000000001,-0.16070000000000001
c-,n=1,0.16070000000000001,-0.16070000000000001
c-,n=2,0.16070000000000001,-0.16070000000000001
c-,nh,-0.017600000000000001,0.017600000000000001
c-,nn,0.16070000000000001,-0.16070000000000001
c-,np,0.16070000000000001,-0.16070000000000001
c-,o,0.1012,-0.1012
c-,o-,0.033700000000000001,-0.53369999999999995
c-,o_1,0.3241,-0.3241
c-,op,0.3241,-0.3241
c-,p,-0.085699999999999998,0.085699999999999998
c-,s,-0.0086999999999999994,0.0086999999999999994
c-,s-,-0.12230000000000001,-0.37769999999999998
c-,si,-0.27750000000000002,0.27750000000000002
c=,c=,0,0
c=,c=1,0,0
c=,c=2,0,0
c=,c_0,0,0
c=,c_1,0,0
c=,cl,0.10199999999999999,-0.10199999999999999
c=,cp,0,0
c=,ct,0.085199999999999998,-0.085199999999999998
c=,f,0.13,-0.13
c=,h,-0.1268,0.1268
c=,i,0.064199999999999993,-0.064199999999999993
c=,n,0,0
c=,n+,0.2989,-0.048899999999999999
c=,n=,0.29999999999999999,-0.29999999999999999
c=,n=1,0.29999999999999999,-0.29999999999999999
c=,n=2,0.29999999999999999,-0.29999999999999999
c=,n_2,0.10000000000000001,-0.10000000000000001
c=,na,0,0
c=,nh,0,0
c=,nn,0,0
c=,np,0,0
c=,o,0.026499999999999999,-0.026499999999999999
c=,o_1,0.35830000000000001,-0.35830000000000001
c=,op,0.35830000000000001,-0.35830000000000001
c=,p,-0.037999999999999999,0.037999999999999999
c=,s,-0.012,0.012
c=,s',0.073200000000000001,-0.073200000000000001
c=,si,-0.22700000000000001,0.22700000000000001
c=,sp,0.073200000000000001,-0.073200000000000001
c=1,c=1,0,0
c=1,c=2,0,0
c=1,c_0,0,0
c=1,c_1,0,0
c=1,cl,0.10199999999999999,-0.10199999999999999
c=1,cp,0,0
c=1,ct,0.085199999999999998,-0.085199999999999998
c=1,f,0.13,-0.13
c=1,h,-0.1268,0.1268
c=1,i,0.064199999999999993,-0.064199999999999993
c=1,n,0,0
c=1,n+,0.2989,-0.048899999999999999
c=1,n=,0.29999999999999999,-0.29999999999999999
